rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
387;David Jones;CGY;R;48;9;8;17;18;8;26
388;Joakim Andersson;DET;C;65;8;9;17;16;9;25
389;Jeff Petry;EDM;D;80;7;10;17;21;20;41
390;Jan Hejda;COL;D;78;6;11;17;18;22;40
391;Brenden Dillon;DAL;D;80;6;11;17;18;22;40
392;Jamie McBain;BUF;D;69;6;11;17;18;22;40
393;Christopher Tanev;VAN;D;64;6;11;17;18;22;40
394;Colin Greening;OTT;L;76;6;11;17;12;11;23
395;Braydon Coburn;PHI;D;82;5;12;17;15;24;39
396;Derek Morris;PHX;D;63;5;12;17;15;24;39
397;Brian Gibbons;PIT;C;41;5;12;17;10;12;22
398;Justin Braun;SJS;D;82;4;13;17;12;26;38
399;Francois Beauchemin;ANA;D;70;4;13;17;12;26;38
400;Eric Brewer;TBL;D;77;4;13;17;12;26;38
401;Sami Salo;TBL;D;71;4;13;17;12;26;38
402;TJ Galiardi;CGY;L;62;4;13;17;8;13;21
403;Tyler Kennedy;SJS;R;67;4;13;17;8;13;21
404;Carl Gunnarsson;TOR;D;80;3;14;17;9;28;37
405;Marco Scandella;MIN;D;76;3;14;17;9;28;37
406;Alexei Emelin;MTL;D;59;3;14;17;9;28;37
407;Andrew Desjardins;SJS;C;81;3;14;17;6;14;20
408;Nate Thompson;TBL;C;81;9;7;16;18;7;25
409;Rene Bourque;MTL;R;63;9;7;16;18;7;25
410;Todd Bertuzzi;DET;R;59;9;7;16;18;7;25
411;Casey Cizikas;NYI;C;80;6;10;16;12;10;22
412;Erik Condra;OTT;R;76;6;10;16;12;10;22
413;Dale Weise;VAN, MTL;R;61;6;10;16;12;10;22
414;Blake Comeau;CBJ;L;61;5;11;16;10;11;21
415;Michal Handzus;CHI;C;59;4;12;16;8;12;20
416;Johnny Oduya;CHI;D;77;3;13;16;9;26;35
417;Michael Del Zotto;NYR, NSH;D;67;3;13;16;9;26;35
418;Calvin de Haan;NYI;D;51;3;13;16;9;26;35
419;Chris Butler;CGY;D;82;2;14;16;6;28;34
420;Matt Donovan;NYI;D;52;2;14;16;6;28;34
421;Ryan Stanton;VAN;D;64;1;15;16;3;30;33
422;Bryan Bickell;CHI;L;59;11;4;15;22;4;26
423;Maxim Lapierre;STL;C;71;9;6;15;18;6;24
424;Brooks Laich;WSH;C;51;8;7;15;16;7;23
425;Tomas Jurco;DET;R;36;8;7;15;16;7;23
426;Drew Miller;DET;L;82;7;8;15;14;8;22
427;Jared Cowen;OTT;D;68;6;9;15;18;18;36
428;Erik Haula;MIN;C;46;6;9;15;12;9;21
429;David Savard;CBJ;D;70;5;10;15;15;20;35
430;Lance Bouma;CGY;C;78;5;10;15;10;10;20
431;Alexandre Burrows;VAN;R;49;5;10;15;10;10;20
432;Ryan Malone;TBL;L;57;5;10;15;10;10;20
433;Ron Hainsey;CAR;D;82;4;11;15;12;22;34
434;John Moore;NYR;D;74;4;11;15;12;22;34
435;Jay Harrison;CAR;D;68;4;11;15;12;22;34
436;Barret Jackman;STL;D;79;3;12;15;9;24;33
437;Paul Martin;PIT;D;39;3;12;15;9;24;33
438;Raphael Diaz;MTL, VAN, NYR;D;63;2;13;15;6;26;32
439;Nikita Nikitin;CBJ;D;66;2;13;15;6;26;32
440;Chris Phillips;OTT;D;70;1;14;15;3;28;31
441;Ville Leino;BUF;L;58;0;15;15;0;15;15
442;Anders Lee;NYI;C;22;9;5;14;18;5;23
443;Matt Martin;NYI;L;79;8;6;14;16;6;22
444;Chris Neil;OTT;R;76;8;6;14;16;6;22
445;Brandon Bollig;CHI;L;82;7;7;14;14;7;21
446;Michael Bournival;MTL;L;60;7;7;14;14;7;21
447;Paul Ranger;TOR;D;53;6;8;14;18;16;34
448;Robyn Regehr;LAK;D;79;3;11;14;9;22;31
449;Marc Staal;NYR;D;72;3;11;14;9;22;31
450;Nicklas Grossmann;PHI;D;78;1;13;14;3;26;29
451;Josh Gorges;MTL;D;66;1;13;14;3;26;29
452;Joe Vitale;PIT;C;53;1;13;14;2;13;15
453;Manny Malhotra;CAR;C;69;7;6;13;14;6;20
454;Brian Flynn;BUF;C;79;6;7;13;12;7;19
455;Brandon Prust;MTL;L;52;6;7;13;12;7;19
456;Cody McLeod;COL;L;71;5;8;13;10;8;18
457;Kyle Quincey;DET;D;82;4;9;13;12;18;30
458;Roman Polak;STL;D;72;4;9;13;12;18;30
459;Tanner Glass;PIT;L;67;4;9;13;8;9;17
